Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2020-01-13,Byju,E-Tech,E-learning,Bengalore,Tiger Global Management,Private,1660.0
2020-01-09,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.8016702
2020-01-02,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengalore,Sequoia Capital India,Series B,152.378538
2020-01-02,Https://Www.Wealthbucket.In/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre Series A,24.9
2020-01-13,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed,14.94
2020-01-10,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.7
2019-12-12,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private,1245.0
2019-12-06,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.8
2019-12-03,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,581.0
2019-12-13,Dhruva Space,Aerospace,Satellite Communication,Bengalore,"Mumbai Angels, Ravikanth Reddy",Seed,415.0
2019-12-17,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,166.0
2019-12-16,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.6
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengalore,Vertex Growth Fund,Series E,249.0
2019-12-14,Incred Finance,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt,48.97
2019-12-11,Trell,Video,Experience Discovery Platform,Bengalore,Ruizheng Investment,Seed,16.6
2019-12-20,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed,415.0
2019-11-13,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1917.3
2019-11-14,Freshworks,Software,Business and customer engagement tools,USA,"Sequoia, CapitalG, Accel",Series H,1245.0
2019-11-13,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.0338
2019-11-17,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.45
2019-11-18,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
2019-11-15,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.6
2019-11-20,Ninjacart,B2B Marketing,Agritech,Bengalore,Trifecta Capital Advisors,Debt,215.8
2019-11-12,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt,144.5134995
2019-11-20,Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,10.79
2019-11-11,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1120.5
2019-11-19,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.49
2019-11-18,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed,1826.0
2019-11-15,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,131.14
2019-11-19,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2348.9
2019-10-04,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8300.0
2019-10-02,Dunzo,Customer Service,Delivery Service,Bengalore,Lightbox,Series D,373.5
2019-10-21,Udaan,B2B,Business development,Bengalore,"Altimeter Capital, DST Global",Series D,4855.5
2019-09-05,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
2019-09-04,Fpl Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.35
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.39
2019-09-04,Digital F5,Advertising & Marketing Community Networking platform,Digital marketing firm,Mumbai,TIW Private Equity,Private,49.8
2019-09-04,3Rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre Series A,41.5
